#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#highest in sequence	#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier
##sequence 1,>NP_567517.1 VRN2 [organism=Arabidopsis thaliana] [GeneID=827392], 440 length
9_5	NP_567517.1	BroT12.C09g33420.1_genome_9	47.826	391	181	7	10	393	258	632	7.10e-92	294	PASS	PASS	9	5	GWHDUBH00000005	36035524	36040026	4503	632	BroT12.C09g33420.1	-	82091913	0	BroT12.C09g33420	-	82091912
7_8	NP_567517.1	BroT24.C08g12210.1_genome_7	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	7	8	GWHDTYK00000008	21979494	21981971	2478	425	BroT24.C08g12210.1	-	81015289	0	BroT24.C08g12210	-	81015288
9_6	NP_567517.1	BroT12.C01g24430.1_genome_9	51.544	421	171	8	1	420	1	389	7.45e-118	355	PASS	PASS	9	6	GWHDUBH00000006	17866668	17869493	2826	458	BroT12.C01g24430.1	-	82157311	0	BroT12.C01g24430	-	82157310
7_9	NP_567517.1	BroT24.C09g31590.1_genome_7	48.082	391	180	7	10	393	258	632	7.57e-93	296	PASS	PASS	7	9	GWHDTYK00000009	36966575	36971079	4505	632	BroT24.C09g31590.1	-	81099643	0	BroT24.C09g31590	-	81099642
9_9	NP_567517.1	BroT12.C04g11660.1_genome_9	37.632	380	210	9	20	389	13	375	1.46e-75	246	PASS	PASS	9	9	GWHDUBH00000009	10098160	10100843	2684	467	BroT12.C04g11660.1	-	82326423	0	BroT12.C04g11660	-	82326422
11_6	NP_567517.1	BroT08.C08g12150.1_genome_11	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	11	6	GWHDUBL00000006	23207044	23209521	2478	425	BroT08.C08g12150.1	-	83380215	0	BroT08.C08g12150	-	83380214
15_2	NP_567517.1	BroT22.C02g19440.1_genome_15	46.701	394	182	7	5	393	253	623	5.32e-90	289	PASS	PASS	15	2	C02	16289409	16294039	4631	630	BroT22.C02g19440.1	-	85680590	0	BroT22.C02g19440	-	85680589
13_4	NP_567517.1	BroT21.C04g07080.1_genome_13	37.895	380	209	9	20	389	13	375	2.14e-76	249	PASS	PASS	13	4	GWHDUBS00000004	6361265	6363946	2682	467	BroT21.C04g07080.1	-	84497765	0	BroT21.C04g07080	-	84497764
15_1	NP_567517.1	BroT22.C01g23400.1_genome_15	45.843	421	157	9	1	420	1	351	5.59e-93	290	PASS	PASS	15	1	C01	17235225	17238050	2826	420	BroT22.C01g23400.1	-	85627290	0	BroT22.C01g23400	-	85627289
13_2	NP_567517.1	BroT21.C02g19320.1_genome_13	46.701	394	182	7	5	393	253	623	5.32e-90	289	PASS	PASS	13	2	GWHDUBS00000002	15744659	15749289	4631	630	BroT21.C02g19320.1	-	84355067	0	BroT21.C02g19320	-	84355066
13_1	NP_567517.1	BroT21.C01g23080.1_genome_13	53.207	421	170	7	1	420	1	395	1.66e-123	370	PASS	PASS	13	1	GWHDUBS00000001	22255069	22258014	2946	481	BroT21.C01g23080.1	-	84298803	0	BroT21.C01g23080	-	84298802
11_3	NP_567517.1	BroT08.C04g11660.1_genome_11	37.632	380	210	9	20	389	13	375	1.77e-75	246	PASS	PASS	11	3	GWHDUBL00000003	9714298	9716970	2673	463	BroT08.C04g11660.1	-	83174725	0	BroT08.C04g11660	-	83174724
11_2	NP_567517.1	BroT08.C01g23620.1_genome_11	53.207	421	170	7	1	420	1	395	1.66e-123	370	PASS	PASS	11	2	GWHDUBL00000002	17543779	17546724	2946	481	BroT08.C01g23620.1	-	83127635	0	BroT08.C01g23620	-	83127634
15_8	NP_567517.1	BroT22.C09g31890.1_genome_15	48.082	391	180	7	10	393	258	632	1.60e-92	295	PASS	PASS	15	8	C09	38502514	38507016	4503	632	BroT22.C09g31890.1	-	86136910	0	BroT22.C09g31890	-	86136909
15_7	NP_567517.1	BroT22.C08g12670.1_genome_15	63.758	298	92	4	132	427	63	346	4.11e-97	298	PASS	PASS	15	7	C08	23693947	23696428	2482	346	BroT22.C08g12670.1	-	86053156	0	BroT22.C08g12670	-	86053155
13_9	NP_567517.1	BroT21.C09g32100.1_genome_13	48.082	391	180	7	10	393	258	632	5.44e-93	296	PASS	PASS	13	9	GWHDUBS00000009	37657867	37662369	4503	632	BroT21.C09g32100.1	-	84842417	0	BroT21.C09g32100	-	84842416
13_8	NP_567517.1	BroT21.C08g12340.1_genome_13	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	13	8	GWHDUBS00000008	20903331	20905807	2477	425	BroT21.C08g12340.1	-	84751771	0	BroT21.C08g12340	-	84751770
11_8	NP_567517.1	BroT08.C02g19950.1_genome_11	47.089	395	179	8	5	393	253	623	1.19e-90	290	PASS	PASS	11	8	GWHDUBL00000008	16429925	16434450	4526	630	BroT08.C02g19950.1	-	83529255	0	BroT08.C02g19950	-	83529254
12_17	NP_567517.1	BroT17.C04g12200.1_genome_12	37.895	380	209	9	20	389	13	375	2.30e-76	249	PASS	PASS	12	17	GWHDUBP00000017	10932955	10935635	2681	467	BroT17.C04g12200.1	-	83788416	0	BroT17.C04g12200	-	83788415
11_7	NP_567517.1	BroT08.C09g33330.1_genome_11	48.082	391	180	7	10	393	258	632	7.57e-93	296	PASS	PASS	11	7	GWHDUBL00000007	41604871	41609372	4502	632	BroT08.C09g33330.1	-	83469805	0	BroT08.C09g33330	-	83469804
12_23	NP_567517.1	BroT17.C02g20210.1_genome_12	46.701	394	182	7	5	393	253	623	5.32e-90	289	PASS	PASS	12	23	GWHDUBP00000023	17798905	17803522	4618	630	BroT17.C02g20210.1	-	84157178	0	BroT17.C02g20210	-	84157177
12_20	NP_567517.1	BroT17.C01g23370.1_genome_12	50.588	425	173	9	1	420	1	393	2.99e-113	343	PASS	PASS	12	20	GWHDUBP00000020	17856465	17859301	2837	462	BroT17.C01g23370.1	-	84000480	0	BroT17.C01g23370	-	84000479
2_2	NP_567517.1	bro9G03954.1_genome_2	48.082	391	180	7	10	393	258	632	7.57e-93	296	PASS	PASS	2	2	GWHBKLA00000002	40448497	40453550	5054	632	bro9G03954.1	-	77536965	0	bro9G03954	-	77536964
2_3	NP_567517.1	bro4G01107.1_genome_2	36.842	380	219	8	20	392	13	378	9.20e-74	241	PASS	PASS	2	3	GWHBKLA00000003	8209938	8212630	2693	460	bro4G01107.1	-	77591543	0	bro4G01107	-	77591542
2_4	NP_567517.1	bro2G02163.1_genome_2	47.089	395	179	8	5	393	253	623	1.19e-90	290	PASS	PASS	2	4	GWHBKLA00000004	17554894	17559889	4996	630	bro2G02163.1	-	77688426	0	bro2G02163	-	77688425
4_2	NP_567517.1	BroT07.C04g11510.1_genome_4	37.895	380	209	9	20	389	13	375	2.30e-76	249	PASS	PASS	4	2	GWHDTYA00000002	9944163	9946843	2681	467	BroT07.C04g11510.1	-	78802916	0	BroT07.C04g11510	-	78802915
6_1	NP_567517.1	BroT06.C01g22840.1_genome_6	50.588	425	173	9	1	420	1	393	7.84e-113	342	PASS	PASS	6	1	GWHDTYJ00000001	17457849	17460674	2826	462	BroT06.C01g22840.1	-	79983790	0	BroT06.C01g22840	-	79983789
6_2	NP_567517.1	BroT06.C02g19370.1_genome_6	47.089	395	179	8	5	393	253	623	1.19e-90	290	PASS	PASS	6	2	GWHDTYJ00000002	16507345	16511871	4527	630	BroT06.C02g19370.1	-	80038134	0	BroT06.C02g19370	-	80038133
4_5	NP_567517.1	BroT07.C01g23990.1_genome_4	51.306	421	172	8	1	420	1	389	2.86e-117	353	PASS	PASS	4	5	GWHDTYA00000005	17290091	17292918	2828	458	BroT07.C01g23990.1	-	79006570	0	BroT07.C01g23990	-	79006569
2_7	NP_567517.1	bro1G02419.1_genome_2	48.235	425	173	10	1	420	1	383	6.36e-100	309	PASS	PASS	2	7	GWHBKLA00000007	18096597	18099422	2826	452	bro1G02419.1	-	77914623	0	bro1G02419	-	77914622
2_8	NP_567517.1	bro8G01685.1_genome_2	72.917	432	107	6	1	427	1	427	0.0	582	PASS	PASS	2	8	GWHBKLA00000008	24651172	24654138	2967	427	bro8G01685.1	-	77972683	0	bro8G01685	-	77972682
8_2	NP_567517.1	BroT19.C02g19600.1_genome_8	47.089	395	179	8	5	393	253	623	1.19e-90	290	PASS	PASS	8	2	GWHDTYL00000002	15947132	15951657	4526	630	BroT19.C02g19600.1	-	81224514	0	BroT19.C02g19600	-	81224513
6_4	NP_567517.1	BroT06.C04g10790.1_genome_6	38.095	378	211	8	20	389	13	375	1.08e-75	247	PASS	PASS	6	4	GWHDTYJ00000004	9788456	9791145	2690	471	BroT06.C04g10790.1	-	80179252	0	BroT06.C04g10790	-	80179251
8_3	NP_567517.1	BroT19.C04g11980.1_genome_8	38.095	378	211	8	20	389	13	375	1.08e-75	247	PASS	PASS	8	3	GWHDTYL00000003	10139645	10142334	2690	471	BroT19.C04g11980.1	-	81279622	0	BroT19.C04g11980	-	81279621
8_4	NP_567517.1	BroT19.C01g23200.1_genome_8	51.544	421	171	8	1	420	1	389	7.45e-118	355	PASS	PASS	8	4	GWHDTYL00000004	17000766	17003591	2826	458	BroT19.C01g23200.1	-	81364584	0	BroT19.C01g23200	-	81364583
4_8	NP_567517.1	BroT07.C02g20130.1_genome_4	47.089	395	179	8	5	393	253	623	1.19e-90	290	PASS	PASS	4	8	GWHDTYA00000008	16440818	16445343	4526	630	BroT07.C02g20130.1	-	79160684	0	BroT07.C02g20130	-	79160683
8_5	NP_567517.1	BroT19.C09g33210.1_genome_8	48.082	391	180	7	10	393	258	632	1.60e-92	295	PASS	PASS	8	5	GWHDTYL00000005	42174073	42178576	4504	632	BroT19.C09g33210.1	-	81436840	0	BroT19.C09g33210	-	81436839
6_8	NP_567517.1	BroT06.C08g11830.1_genome_6	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	6	8	GWHDTYJ00000008	21976934	21979411	2478	425	BroT06.C08g11830.1	-	80423190	0	BroT06.C08g11830	-	80423189
12_29	NP_567517.1	BroT17.C08g13950.1_genome_12	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	12	29	GWHDUBP00000029	22508333	22510809	2477	425	BroT17.C08g13950.1	-	84215678	0	BroT17.C08g13950	-	84215677
6_9	NP_567517.1	BroT06.C09g32310.1_genome_6	48.082	391	180	7	10	393	258	632	7.57e-93	296	PASS	PASS	6	9	GWHDTYJ00000009	39164744	39169245	4502	632	BroT06.C09g32310.1	-	80507788	0	BroT06.C09g32310	-	80507787
5_10	NP_567517.1	BroT13.C09g33260.1_genome_5	48.082	391	180	7	10	393	258	632	1.60e-92	295	PASS	PASS	5	10	GWHDTYE00000010	38457979	38462482	4504	632	BroT13.C09g33260.1	-	79856009	0	BroT13.C09g33260	-	79856008
8_9	NP_567517.1	BroT19.C08g12920.1_genome_8	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	8	9	GWHDTYL00000009	24180760	24183233	2474	425	BroT19.C08g12920.1	-	81707336	0	BroT19.C08g12920	-	81707335
5_11	NP_567517.1	BroT13.C08g12480.1_genome_5	76.650	394	84	5	1	391	1	389	0.0	546	PASS	PASS	5	11	GWHDTYE00000011	23564718	23567199	2482	427	BroT13.C08g12480.1	-	79904655	0	BroT13.C08g12480	-	79904654
1_55	NP_567517.1	rna-XM_013758460.1_genome_1	48.082	391	180	7	10	393	258	632	1.60e-92	295	PASS	PASS	1	55	NW_013617460.1	10371	15427	5057	632	rna-XM_013758460.1	XM_013758460.1	77351646	0	gene-LOC106320093	LOC106320093	77351645

